"Story","Title","Result","Date","Stability","Duration (s)"
"Artist","Search for Artist","SUCCESS","2021-03-27T19:54:31.1205134Z[Europe/London]","0.0","0.53"
"Artist","Invalid search for an Artist","SUCCESS","2021-03-27T19:54:31.6594096Z[Europe/London]","0.0","0.54"
"Artist","Search for a Non-existent artist","SUCCESS","2021-03-27T19:54:32.2110306Z[Europe/London]","0.0","0.52"
