"Story","Title","Result","Date","Stability","Duration (s)"
"Album","Search for Album","SUCCESS","2021-03-27T20:21:54.1042592Z[Europe/London]","0.0","7.64"
"Artist","Search for Artist","SUCCESS","2021-03-27T20:22:01.7607111Z[Europe/London]","0.0","0.64"
"Artist","Invalid search for an Artist","SUCCESS","2021-03-27T20:22:02.4078461Z[Europe/London]","0.0","0.51"
"Artist","Search for a Non-existent artist","SUCCESS","2021-03-27T20:22:02.930284Z[Europe/London]","0.0","0.55"
"Track","Search for Track","SUCCESS","2021-03-27T20:22:03.486208Z[Europe/London]","0.0","0.66"
"Track","Invalid search for a Track","SUCCESS","2021-03-27T20:22:04.1661674Z[Europe/London]","0.0","0.46"
"Categories","Search for Album/Music by Categories","SUCCESS","2021-03-27T20:22:04.6400083Z[Europe/London]","0.0","0.66"
"Categories","Search for Categories must be larger than Zero","SUCCESS","2021-03-27T20:22:05.3117865Z[Europe/London]","0.0","0.57"
