"Story","Title","Result","Date","Stability","Duration (s)"
"Album","Search for Album","FAILURE","2021-03-27T01:16:35.4939776Z[Europe/London]","0.0","7.6"
"Artist","Search for Artist","FAILURE","2021-03-27T01:16:43.4343887Z[Europe/London]","0.0","0.87"
"Artist","Invalid search for an Artist","FAILURE","2021-03-27T01:16:44.3562562Z[Europe/London]","0.0","0.73"
"Artist","Search for a Non-existent artist","FAILURE","2021-03-27T01:16:45.1493566Z[Europe/London]","0.0","0.59"
"Track","Search for Track","FAILURE","2021-03-27T01:16:45.7743489Z[Europe/London]","0.0","0.48"
"Track","Invalid search for a Track","FAILURE","2021-03-27T01:16:46.2743451Z[Europe/London]","0.0","0.61"
"Categories","Search for Album/Music by Categories","FAILURE","2021-03-27T01:16:46.946211Z[Europe/London]","0.0","0.42"
"Categories","Search for Categories must be larger than Zero","FAILURE","2021-03-27T01:16:47.4462067Z[Europe/London]","0.0","0.59"
