"Story","Title","Result","Date","Stability","Duration (s)"
"Album","Search for Album","ERROR","2021-03-27T19:49:00.5361146Z[Europe/London]","0.0","4.01"
"Artist","Search for Artist","ERROR","2021-03-27T19:49:04.7597314Z[Europe/London]","0.0","0.08"
"Artist","Invalid search for an Artist","ERROR","2021-03-27T19:49:04.865697Z[Europe/London]","0.0","0.08"
"Artist","Search for a Non-existent artist","ERROR","2021-03-27T19:49:04.9616737Z[Europe/London]","0.0","0.1"
"Track","Search for Track","ERROR","2021-03-27T19:49:05.0836246Z[Europe/London]","0.0","0.07"
"Track","Invalid search for a Track","ERROR","2021-03-27T19:49:05.1885886Z[Europe/London]","0.0","0.06"
"Categories","Search for Album/Music by Categories","ERROR","2021-03-27T19:49:05.2715623Z[Europe/London]","0.0","0.09"
"Categories","Search for Categories must be larger than Zero","ERROR","2021-03-27T19:49:05.4055261Z[Europe/London]","0.0","0.09"
