"Story","Title","Result","Date","Stability","Duration (s)"
"Artist","Search for Artist","SUCCESS","2021-03-27T01:51:47.8536621Z[Europe/London]","0.0","0.56"
"Artist","Invalid search for an Artist","SUCCESS","2021-03-27T01:51:48.4344687Z[Europe/London]","0.0","0.55"
"Artist","Search for a Non-existent artist","SUCCESS","2021-03-27T01:51:48.99767Z[Europe/London]","0.0","0.61"
